No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Source ID;EAN;Variant Group;Your Decision (KEEP/REMOVE);Your Custom Price (€)

--- PERFUMES ---
51;Perfumes;Acqua di Parma;Acqua di Parma Colonia 180 ml - Eau de Cologne - Unisex;180 ml;82.29;134.95;52.66;39.0%;60;DST133736;8028713001734;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
52;Perfumes;Acqua di Parma;Acqua Di Parma - ACQUA DI PARMA edc 180 ml;180 ml;89.98;144.95;54.97;37.9%;5;DST157368;8028713000034;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
53;Perfumes;Acqua di Parma;Acqua Di Parma Mandarino Di Sicilia Eau de Toilette Spray 180ml;180 ml;92.25;149.95;57.70;38.5%;63;DST1275478;8028713816314;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
54;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Arancia Di Capri Edt Spray 180ml;180 ml;94.26;154.95;60.69;39.2%;6;DST1296879;8028713816611;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
55;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Mirto Di Panarea Eau De Toilette Spray 180ml;180 ml;98.85;159.95;61.10;38.2%;49;DST1289404;8028713816673;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
56;Perfumes;Acqua di Parma;Acqua di Parma Signature Camelia Eau de Parfum 180 ml;180 ml;103.43;169.95;66.52;39.1%;3;DST173715;8028713810220;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
57;Perfumes;Acqua di Parma;Acqua Di Parma - Uniseks Parfum Ambra Acqua Di Parma EDC concentrée - Unisex - 180 ml;180 ml;130.26;209.95;79.69;38.0%;3;DST376425;8028713240225;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
58;Perfumes;Acqua di Parma;Acqua Di Parma Signatures Of The Sun Luce Di Rosa Eau de Parfum Spray 180ml;180 ml;134.27;214.95;80.68;37.5%;19;DST1294254;8028713819216;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
59;Perfumes;Acqua di Parma;Acqua Di Parma Zafferano Signatures of the Sun Eau de Parfum 180ml;180 ml;143.24;229.95;86.71;37.7%;8;DST724452;8028713813382;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
60;Perfumes;Acqua di Parma;Acqua di Parma Quercia Eau de Parfum 180ml;180 ml;150.67;219.95;69.28;31.5%;4;DST252090;8028713810824;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
61;Perfumes;Acqua di Parma;Acqua di Parma Oud - 180 ml - eau de parfum spray - unisexparfum;180 ml;156.28;229.95;73.67;32.0%;79;DST17462;8028713810527;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
62;Perfumes;Acqua di Parma;Acqua di Parma Yuzu - 180 ml - eau de parfum spray - unisexparfum;180 ml;179.43;264.95;85.52;32.3%;16;DST173732;8028713810121;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
63;Perfumes;Acqua di Parma;Acqua Di Parma Blu Mediterraneo Fico Di Amalfi Body Scrub 200 Ml;200 ml;34.53;69.95;35.42;50.6%;3;DST55773;8028713571831;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
64;Perfumes;Acqua di Parma;Acqua Di Parma ACQUA DI PARMA edc 500 ml;500 ml;139.87;224.95;85.08;37.8%;55;DST165581;8028713000294;Acqua di Parma - acqua di parma yuzu - - eau de parfum spray - unis;;
65;Perfumes;Armani;Giorgio Armani Code 30 ml Eau de Parfum - Damesparfum;30 ml;43.88;84.95;41.07;48.3%;750;DST4511;3360375004049;Armani - giorgio armani prive vert malachite eau de parfum ;;
66;Perfumes;Armani;Giorgio Armani Sì 30 ml Eau de Parfum - Damesparfum;30 ml;49.01;94.95;45.94;48.4%;750;DST388132;3605521816511;Armani - giorgio armani prive vert malachite eau de parfum ;;
67;Perfumes;Armani;Giorgio Armani Sì 50 ml Eau de Parfum - Damesparfum;50 ml;57.98;114.95;56.97;49.6%;234;DST389113;3605521816580;Armani - giorgio armani prive vert malachite eau de parfum ;;
68;Perfumes;Armani;Giorgio Armani Armani Code Eau De Parfum Spray 50 ml for Women;50 ml;63.01;119.95;56.94;47.5%;750;DST173921;3360375004056;Armani - giorgio armani prive vert malachite eau de parfum ;;
69;Perfumes;Armani;Giorgio Armani Armani Code Eau De Parfum Spray 75 ml for Women;75 ml;77.61;149.95;72.34;48.2%;72;DST121082;3360375010972;Armani - giorgio armani prive vert malachite eau de parfum ;;
70;Perfumes;Armani;Giorgio Armani Sì 100 ml Eau de Parfum - Damesparfum;100 ml;86.60;139.95;53.35;38.1%;319;DST222094;3605521816658;Armani - giorgio armani prive vert malachite eau de parfum ;;
71;Perfumes;Armani;Giorgio Armani Prive Vert Malachite Eau De Parfum 100ml Spray;100 ml;246.04;359.95;113.91;31.6%;3;DST258359;3614271063700;Armani - giorgio armani prive vert malachite eau de parfum ;;
72;Perfumes;Armani;Armani Privé Thé Yulong Eau de Toilette;100 ml;168.98;249.95;80.97;32.4%;3;DST246005;3614272650954;Armani - armani privé thé yulong eau de toilette;;
73;Perfumes;Bvlgari;Yasep Eau de Parfum (EDP) 100ml;100 ml;200.40;294.95;94.55;32.1%;6;DST1273350;783320418105;Bvlgari - ambero eau de parfum (edp);;
74;Perfumes;Bvlgari;Ambero Eau de Parfum (EDP) 100ml;100 ml;220.65;319.95;99.30;31.0%;6;DST1273342;783320417887;Bvlgari - ambero eau de parfum (edp);;
75;Perfumes;Bvlgari;Bvlgari Le Gemme Empyr Eau De Parfum 100 ml;100 ml;199.71;289.95;90.24;31.1%;3;DST1197493;783320417917;Bvlgari - bvlgari le gemme empyr eau de parfum;;
76;Perfumes;Carolina Herrera;Carolina Herrera 212 - 30ml - Eau de toilette;30 ml;27.35;64.95;37.60;57.9%;500;DST20009;8411061906651;Carolina Herrera - sandal ruby by carolina herrera - eau de parfum sp;;
