No.;Category;Brand;Product Name;Size;Wholesale Price (€);Suggested Selling Price (€);Profit per Unit (€);Margin %;Stock Available;Source ID;EAN;Your Decision (KEEP/REMOVE);Your Custom Price (€)

--- PERFUMES (40 products) ---
124;Haircare;Kérastase;Kérastase Blond Absolu Cicaflash Conditioner 250ml - vrouwen - Voor Gekleurd haar/Grijs haar/Normaal haar - Conditioner ...;250 ml;33.73;64.95;31.22;48.1%;88;DST426805;3474636692361;;
125;Haircare;Kérastase;Kérastase Soleil Bain Après Soleil - Aftersun shampoo die het haar voedt en het haar laat glanzen - 250ml;;24.76;59.95;35.19;58.7%;100;DST3474636695249;3474636695249;;
126;Haircare;MAC;Lash Dry Shampoo Mascara Refresher - VrchnI Řasenka S Efektem SuchEho Šamponu Pro Objem Řas 6,5 Ml;6.5 ml;19.74;49.95;30.21;60.5%;14;DST1041805;773602646746;;
127;Haircare;Moroccanoil;Moroccanoil Light Treatment - 200 ml;200 ml;50.34;99.95;49.61;49.6%;31;DST174350;7290011521684;;
128;Haircare;Moroccanoil;Moroccanoil Moisture Repair Shampoo - 1000 ml;1000 ml;46.41;89.95;43.54;48.4%;20;DST373901;7290011521257;;
129;Haircare;Moroccanoil;Moroccanoil Blonde Perfecting Purple Shampoo - 1000 ml;1000 ml;43.47;84.95;41.48;48.8%;23;DST698071;7290113140028;;
130;Haircare;Narciso Rodriguez;Narciso Rodriguez NARCISO RODRIGUEZ FOR HER Hair mist - 30 ml;30 ml;27.70;64.95;37.25;57.4%;59;DST121876;3423470890228;;
131;Haircare;Narciso Rodriguez;Haar Parfum Hair Mist Narciso Rodriguez (30 ml);30 ml;27.55;64.95;37.40;57.6%;18;DST12061;3423478837355;;
132;Haircare;Nuxe;Nuxe Prodigieux Néroli Multi-Purpose Dry Oil + High Shine Shampoo 100 ml + 30 ml;;19.20;44.95;25.75;57.3%;28;DST1354306;3264680039355;;
133;Haircare;Olaplex;Olaplex Professional Travel Kit;1 pcs;91.36;149.95;58.59;39.1%;45;DST1290951;850018802857;;
134;Haircare;Olaplex;Olaplex No.4 Fine Bond Maintenance Shampoo 1000ml;;48.83;94.95;46.12;48.6%;106;DST1374704;850056933551;;
135;Haircare;Olaplex;Olaplex No.5 Fine - Bond Maintenance Conditioner - 1000 ml;;47.47;94.95;47.48;50.0%;80;DST1374703;850056933629;;
136;Haircare;Paul Mitchell;Paul Mitchell Clean Beauty Hydrate Conditioner 1000 ml;1000 ml;61.30;119.95;58.65;48.9%;6;DST1248242;9531131894;;
137;Haircare;Paul Mitchell;Intensive treatment for colored hair Color Care (Color Protect Reconstructive Treatment) 150 ml 500ml;150 ml;41.40;79.95;38.55;48.2%;12;DST1273461;4047162022156;;
138;Haircare;Paul Mitchell;Paul Mitchell Tea Tree Special Color Conditioner 1000 ml;1000 ml;40.91;79.95;39.04;48.8%;5;DST1248354;9531128542;;
139;Haircare;Prada;ghd Heat Protect Spray Bodyguard 120 ml;120 ml;25.07;59.95;34.88;58.2%;150;DST60799;5060356734214;;
140;Haircare;Prada;Aveda   Air Control Hold Hair Spray For All Hair Types 300 Ml;300 ml;23.59;54.95;31.36;57.1%;32;DST18077;18084836552;;
141;Haircare;Redken;Redken Acidic Bonding Curls Conditioner 1000 ml;1000 ml;43.37;84.95;41.58;48.9%;16;DST1290474;3474637208714;;
142;Haircare;Redken;Redken Color Gels Oil 7na -7,01 3 X 60ml;60 ml;40.33;79.95;39.62;49.6%;5;DST1301030;3474637242428;;
143;Haircare;Redken;Redken Color Gel Oils 06nn - 6,00 60ml X 3 U;60 ml;39.87;79.95;40.08;50.1%;8;DST840015;3474637107628;;
144;Haircare;Revlon;Shampoo Revlon;1000 ml;24.67;59.95;35.28;58.8%;23;DST244762;8432225114743;;
145;Haircare;Revlon;Flexibele Fixatie Haarspray Lasting Shape Revlon;100 ml;23.33;54.95;31.62;57.5%;15;DST53155;8432225078144;;
146;Haircare;Revlon;Voedende Conditioner Revlon Re-Start (750 ml);750 ml;20.35;49.95;29.60;59.3%;71;DST82230;8432225114552;;
147;Haircare;Schwarzkopf;Schwarzkopf - Bonacure Color Freeze Conditioner;1000 ml;22.48;54.95;32.47;59.1%;6;DST164958;4045787724158;;
148;Haircare;Schwarzkopf;Schwarzkopf - Bonacure Color Freeze Treatment;500 ml;21.49;49.95;28.46;57.0%;8;DST162547;4045787724233;;
149;Haircare;Schwarzkopf;Schwarzkopf Bc Scalp Genesis Champú Calmante 1000ml;1000 ml;21.18;49.95;28.77;57.6%;9;DST1296438;4045787998412;;
150;Haircare;Sebastian;POTION 9 Leave-in Conditioner Styling Treatment Intense Hydration and Softness 500ml;;51.04;99.95;48.91;48.9%;49;DST4068359093926;4068359093926;;
151;Haircare;Sebastian;POTION 9 Professional Nourishing Conditioner Intense Hydration 1000 ml;;47.06;89.95;42.89;47.7%;40;DST4068359082470;4068359082470;;
152;Haircare;Sebastian;DARK OIL professional detangling conditioner for silky and shiny hair 1000 ml;;47.06;89.95;42.89;47.7%;133;DST4068359104820;4068359104820;;
153;Haircare;TIGI;Tigi Bed Head Resurrection Super Repair Conditioner 970 ml;970 ml;21.71;49.95;28.24;56.5%;28;DST162253;615908432091;;
154;Haircare;TIGI;Tigi Bed Head Dumb Blonde Shampoo & Conditioner 750 ml + 750 ml;750 ml;20.41;49.95;29.54;59.1%;60;DST223640;615908942217;;
155;Haircare;Vichy;Vichy - Dercos Neogenic Redensifying Shampoo - Restorative shampoo for hair density - 400ml;400 ml;25.83;59.95;34.12;56.9%;6;DST227609;3337871330019;;
156;Haircare;Vichy;Vichy Dercos Neogenic Redensifying Shampoo 200 Ml;200 ml;21.09;49.95;28.86;57.8%;47;DST52950;3337871324629;;
157;Haircare;Vichy;Vichy Dercos Anti-dandruff Ds Dermatological Shampoo 390 Ml;390 ml;19.96;49.95;29.99;60.0%;7;DST362980;3337871331290;;
158;Haircare;Wella;Sebastian Potion 9-500 ml met pomp;500 ml;41.62;79.95;38.33;47.9%;11;DST1190985;4064666066806;;
159;Haircare;Wella;Wella Professionals Ultimate Repair Miracle Hair Rescue 95ml;95 ml;36.30;69.95;33.65;48.1%;14;DST1192299;4064666580050;;
160;Haircare;Wella;Wella Wp Pro Ult Rpar Atb Deep Cnd 500ml Epgp;500 ml;31.13;59.95;28.82;48.1%;120;DST1192298;4064666336206;;

